Scenario, Experiment Name, Total Agents, # Distracted Agents, Simulation Time, Flow Rate, Average Agent Path Length, Average Agent Kinetic Energy Average, Average Agent Effort
Egress,No distraction,50,0,35.64264,1.402814,17.91964,0.5258463,71.04729
Egress,No distraction,50,0,40.23235,1.242781,17.27409,0.4597106,77.31146
Egress,No distraction,50,0,34.33168,1.456381,16.9159,0.5036755,70.21367
Egress,No distraction,50,0,35.02511,1.427547,18.36431,0.5271053,75.42978
Egress,No distraction,50,0,42.99356,1.162965,17.85694,0.4352416,81.58963
Egress,No distraction,50,0,32.54327,1.536416,17.1081,0.5273577,69.38324
Egress,No distraction,50,0,38.19629,1.309028,17.77215,0.4643193,78.73161
Egress,No distraction,50,0,31.93744,1.565561,17.41044,0.5258286,70.45293
Egress,No distraction,50,0,34.75162,1.438782,17.54771,0.523502,73.02563
Egress,No distraction,50,0,33.60248,1.487985,17.78313,0.5258579,72.39831
Egress,No distraction,50,0,38.77786,1.289395,18.29414,0.5208248,75.91937
Egress,No distraction,50,0,33.79117,1.479677,17.9065,0.5347191,72.13078
Egress,No distraction,50,0,29.71442,1.682685,17.61005,0.5760832,68.40787
Egress,No distraction,50,0,35.26389,1.417881,17.86446,0.506777,74.61633
Egress,No distraction,50,0,33.46338,1.494171,17.8599,0.5412439,69.94462
Egress,No distraction,50,0,34.37543,1.454527,17.75139,0.5008342,73.44459
Egress,No distraction,50,0,34.27045,1.458983,18.04538,0.515471,72.82726
Egress,No distraction,50,0,35.7287,1.399435,17.66595,0.4693336,73.89072
Egress,No distraction,50,0,36.90668,1.354768,17.55102,0.4967902,73.64622
Egress,No distraction,50,0,34.04315,1.468724,17.67571,0.4786681,74.23388
Egress,Walk and Text,50,1,36.31939,1.376675,17.24454,0.4890181,70.27395
Egress,Walk and Text,50,1,33.8442,1.477358,17.26929,0.480359,72.36872
Egress,Walk and Text,50,1,32.2944,1.548256,18.02955,0.5275185,72.54535
Egress,Walk and Text,50,1,29.71204,1.68282,17.80146,0.5366665,70.70303
Egress,Walk and Text,50,1,38.30009,1.30548,18.11536,0.4724554,78.02364
Egress,Walk and Text,50,1,34.90211,1.432578,17.58709,0.470126,76.93027
Egress,Walk and Text,50,1,32.10632,1.557326,17.79887,0.5108472,71.39893
Egress,Walk and Text,50,1,32.09221,1.558011,16.99219,0.5100782,69.39034
Egress,Walk and Text,50,1,31.6763,1.578467,18.05628,0.5192406,72.1769
Egress,Walk and Text,50,1,37.43835,1.335529,18.24148,0.5081661,76.27132
Egress,Walk and Text,50,1,34.42453,1.452453,18.33896,0.5266455,74.70418
Egress,Walk and Text,50,1,33.11545,1.509869,17.71901,0.486492,73.79351
Egress,Walk and Text,50,1,33.62091,1.48717,18.02199,0.483857,74.03677
Egress,Walk and Text,50,1,34.45691,1.451088,17.91152,0.4644667,76.7318
Egress,Walk and Text,50,1,32.57617,1.534864,18.00059,0.5373149,71.28482
Egress,Walk and Text,50,1,32.10529,1.557376,17.31933,0.5152482,70.1002
Egress,Walk and Text,50,1,36.37225,1.374674,17.54384,0.503333,74.5392
Egress,Walk and Text,50,1,35.56879,1.405727,17.8007,0.4934477,74.992
Egress,Walk and Text,50,1,34.35498,1.455393,18.76426,0.5383419,74.76839
Egress,Walk and Text,50,1,31.46191,1.589223,17.31352,0.5324819,69.40067
Egress,Walk and Text,50,2,39.47226,1.266712,18.10729,0.489002,75.02648
Egress,Walk and Text,50,2,33.3534,1.499097,17.54843,0.5178173,71.81957
Egress,Walk and Text,50,2,34.96317,1.430076,17.96207,0.5346949,73.1033
Egress,Walk and Text,50,2,36.48179,1.370547,17.46227,0.4775082,76.3596
Egress,Walk and Text,50,2,32.30722,1.547642,17.65234,0.545763,71.3
Egress,Walk and Text,50,2,34.38756,1.454014,17.55164,0.5226609,72.23479
Egress,Walk and Text,50,2,32.93214,1.518273,17.47108,0.4890053,73.45896
Egress,Walk and Text,50,2,33.79207,1.479637,17.56893,0.5240303,70.68911
Egress,Walk and Text,50,2,36.63123,1.364956,17.54161,0.5012176,72.11632
Egress,Walk and Text,50,2,32.84494,1.522305,17.29528,0.5031573,71.17796
Egress,Walk and Text,50,2,33.73703,1.482051,17.85187,0.5057917,73.14491
Egress,Walk and Text,50,2,32.12827,1.556262,18.10861,0.5109814,73.13902
Egress,Walk and Text,50,2,37.67221,1.327238,18.32739,0.5225046,76.64236
Egress,Walk and Text,50,2,30.29312,1.65054,17.68182,0.5353642,69.41342
Egress,Walk and Text,50,2,37.50372,1.333201,17.67366,0.4522652,77.20472
Egress,Walk and Text,50,2,30.5921,1.634409,17.62731,0.5497226,69.92693
Egress,Walk and Text,50,2,34.38452,1.454143,18.2377,0.5399004,72.383
Egress,Walk and Text,50,2,34.53937,1.447623,17.56562,0.5142497,71.49442
Egress,Walk and Text,50,2,40.13348,1.245842,18.02019,0.4768125,77.81964
Egress,Walk and Text,50,2,35.67035,1.401724,18.28228,0.4833954,76.89721
Egress,Walk and Text,50,5,41.68431,1.199492,17.33541,0.4754146,71.77697
Egress,Walk and Text,50,5,35.43723,1.410945,18.00383,0.48509,75.20866
Egress,Walk and Text,50,5,34.42847,1.452287,17.35042,0.5016668,70.71641
Egress,Walk and Text,50,5,37.47756,1.334132,17.5949,0.4789476,74.4117
Egress,Walk and Text,50,5,34.78319,1.437476,17.71276,0.4922132,73.37314
Egress,Walk and Text,50,5,35.51836,1.407723,17.58949,0.5009458,71.78886
Egress,Walk and Text,50,5,30.60875,1.63352,17.62152,0.5379722,69.47205
Egress,Walk and Text,50,5,37.42612,1.335966,17.83848,0.4826699,76.48331
Egress,Walk and Text,50,5,35.78113,1.397385,17.81115,0.4806717,75.00356
Egress,Walk and Text,50,5,33.28735,1.502072,17.97206,0.4995257,74.40073
Egress,Walk and Text,50,5,35.7511,1.398558,17.71207,0.4734021,75.3673
Egress,Walk and Text,50,5,33.49121,1.492929,17.37017,0.4877714,71.09798
Egress,Walk and Text,50,5,34.18738,1.462528,17.37225,0.5167093,70.97669
Egress,Walk and Text,50,5,36.9332,1.353796,17.50827,0.4590907,77.25661
Egress,Walk and Text,50,5,35.26813,1.417711,17.58142,0.4716498,73.84994
Egress,Walk and Text,50,5,32.6676,1.530568,17.74489,0.4982139,72.03867
Egress,Walk and Text,50,5,29.6781,1.684744,17.60994,0.5321805,68.44479
Egress,Walk and Text,50,5,31.80334,1.572162,18.32167,0.5506231,71.87449
Egress,Walk and Text,50,5,36.26691,1.378667,18.04077,0.4612601,77.52458
Egress,Walk and Text,50,5,31.62933,1.580811,17.92982,0.5110079,72.09182
Egress,Walk and Text,50,10,41.17876,1.214218,17.60399,0.4476186,75.29929
Egress,Walk and Text,50,10,38.58949,1.29569,17.9218,0.468899,76.32658
Egress,Walk and Text,50,10,34.72764,1.439775,17.68309,0.5083616,71.0328
Egress,Walk and Text,50,10,30.65341,1.63114,16.91138,0.4978641,68.12059
Egress,Walk and Text,50,10,30.14369,1.658722,18.06507,0.5337131,70.22178
Egress,Walk and Text,50,10,31.41779,1.591455,17.94331,0.5254453,70.78333
Egress,Walk and Text,50,10,35.62531,1.403497,17.64457,0.4818702,73.87654
Egress,Walk and Text,50,10,39.04655,1.280523,17.7527,0.458427,76.66447
Egress,Walk and Text,50,10,35.49438,1.408674,17.8312,0.4858885,74.36549
Egress,Walk and Text,50,10,35.21747,1.41975,18.05836,0.5259705,72.49908
Egress,Walk and Text,50,10,32.03357,1.560863,18.10629,0.5156966,71.85911
Egress,Walk and Text,50,10,36.17676,1.382103,18.19132,0.5118339,74.59045
Egress,Walk and Text,50,10,38.44202,1.30066,17.86274,0.4803312,76.14605
Egress,Walk and Text,50,10,38.68503,1.29249,17.62853,0.4671407,75.44355
Egress,Walk and Text,50,10,32.28171,1.548865,17.60885,0.5016046,70.73825
Egress,Walk and Text,50,10,33.39398,1.497276,17.3564,0.4879803,71.18375
Egress,Walk and Text,50,10,32.23029,1.551336,17.19862,0.4963426,69.89634
Egress,Walk and Text,50,10,33.7074,1.483354,17.50671,0.4585586,73.71037
Egress,Walk and Text,50,10,33.57843,1.489051,17.96057,0.4913841,73.75508
Egress,Walk and Text,50,10,35.94464,1.391028,17.49132,0.4733686,73.10605
Egress,Walk and Text,50,20,39.26446,1.273416,17.67652,0.465331,72.09618
Egress,Walk and Text,50,20,32.82145,1.523394,18.15715,0.4729337,72.4471
Egress,Walk and Text,50,20,36.09489,1.385237,17.45927,0.4542698,73.79153
Egress,Walk and Text,50,20,37.91569,1.318715,17.47639,0.4068931,77.17228
Egress,Walk and Text,50,20,34.75351,1.438704,18.2061,0.4731057,74.51978
Egress,Walk and Text,50,20,33.05048,1.512838,17.71282,0.4798949,72.43275
Egress,Walk and Text,50,20,33.284,1.502223,17.53919,0.4584109,71.76603
Egress,Walk and Text,50,20,30.45438,1.6418,16.93082,0.4864612,66.51755
Egress,Walk and Text,50,20,33.10245,1.510462,17.70144,0.5078428,70.21296
Egress,Walk and Text,50,20,38.62665,1.294443,18.42087,0.4830231,76.257
Egress,Walk and Text,50,20,35.88156,1.393473,17.72906,0.4588014,72.92278
Egress,Walk and Text,50,20,35.78586,1.3972,17.93304,0.4315585,75.09777
Egress,Walk and Text,50,20,35.57214,1.405594,18.18042,0.4605732,74.04982
Egress,Walk and Text,50,20,35.64087,1.402884,17.8434,0.4577225,74.70186
Egress,Walk and Text,50,20,37.03506,1.350072,18.2952,0.5010729,73.57228
Egress,Walk and Text,50,20,36.86377,1.356345,18.1101,0.475802,74.33728
Egress,Walk and Text,50,20,30.76062,1.625455,17.96134,0.4816397,70.74551
Egress,Walk and Text,50,20,34.79706,1.436903,17.63589,0.4956101,70.17341
Egress,Walk and Text,50,20,35.16547,1.421849,17.48189,0.4706712,71.94037
Egress,Walk and Text,50,20,35.44806,1.410514,17.55014,0.4609936,72.72441
Egress,Walk and Text,50,30,41.21034,1.213288,17.41267,0.4102451,72.40009
Egress,Walk and Text,50,30,33.99705,1.470716,18.12614,0.4653066,72.35841
Egress,Walk and Text,50,30,36.64878,1.364302,17.78912,0.4328393,73.39119
Egress,Walk and Text,50,30,35.43436,1.41106,17.62918,0.4219025,75.44924
Egress,Walk and Text,50,30,35.89008,1.393143,17.94355,0.4478256,73.77637
Egress,Walk and Text,50,30,34.22993,1.46071,17.75874,0.465021,71.64941
Egress,Walk and Text,50,30,35.87076,1.393893,17.94173,0.4622815,72.82695
Egress,Walk and Text,50,30,35.07274,1.425609,18.29688,0.4384304,75.8765
Egress,Walk and Text,50,30,34.28363,1.458422,18.03103,0.4666128,72.06569
Egress,Walk and Text,50,30,38.88016,1.286003,17.94044,0.4303458,76.31802
Egress,Walk and Text,50,30,33.08688,1.511173,17.56405,0.4539663,70.49115
Egress,Walk and Text,50,30,35.30338,1.416295,17.80165,0.455289,72.60696
Egress,Walk and Text,50,30,34.53082,1.447982,17.64362,0.4613498,70.8351
Egress,Walk and Text,50,30,34.42761,1.452323,17.74285,0.4790142,71.09663
Egress,Walk and Text,50,30,31.12128,1.606618,17.55652,0.4812055,68.76621
Egress,Walk and Text,50,30,34.99603,1.428733,17.71974,0.4374497,73.00471
Egress,Walk and Text,50,30,36.50397,1.369714,17.87084,0.4342642,74.54994
Egress,Walk and Text,50,30,32.70984,1.528592,17.87698,0.4382094,72.09619
Egress,Walk and Text,50,30,37.43079,1.335799,17.65524,0.4127019,75.02649
Egress,Walk and Text,50,30,34.7381,1.439342,17.83068,0.4678887,72.50566
Egress,Walk and Text,50,40,35.97807,1.389735,17.95495,0.4578731,69.78844
Egress,Walk and Text,50,40,32.45613,1.540541,17.86958,0.4483418,71.35321
Egress,Walk and Text,50,40,35.29334,1.416698,17.67914,0.4273959,72.76236
Egress,Walk and Text,50,40,34.29525,1.457928,17.77098,0.4523671,70.42432
Egress,Walk and Text,50,40,36.57588,1.367021,18.43994,0.4382629,75.11272
Egress,Walk and Text,50,40,34.37987,1.45434,18.01242,0.4510336,72.3644
Egress,Walk and Text,50,40,35.43716,1.410948,17.48763,0.4046358,73.78638
Egress,Walk and Text,50,40,35.54205,1.406784,18.17829,0.4484941,73.15147
Egress,Walk and Text,50,40,34.8898,1.433084,17.43626,0.4121746,72.60211
Egress,Walk and Text,50,40,34.25739,1.459539,17.18627,0.3955688,72.53835
Egress,Walk and Text,50,40,33.01044,1.514673,16.9038,0.4142729,69.84093
Egress,Walk and Text,50,40,33.23117,1.504611,18.13499,0.4625803,72.3671
Egress,Walk and Text,50,40,35.80258,1.396547,18.09246,0.4292477,74.04732
Egress,Walk and Text,50,40,42.87137,1.16628,18.10077,0.4004402,79.88163
Egress,Walk and Text,50,40,37.37048,1.337954,17.75612,0.4074067,75.46098
Egress,Walk and Text,50,40,36.7135,1.361897,17.45663,0.4161276,73.5107
Egress,Walk and Text,50,40,34.33698,1.456156,18.41165,0.4338183,74.75668
Egress,Walk and Text,50,40,35.8949,1.392956,17.85082,0.4653502,71.42918
Egress,Walk and Text,50,40,39.44196,1.267686,17.81877,0.4008172,76.54086
Egress,Walk and Text,50,40,33.5509,1.490273,17.86298,0.4418075,71.78391
Egress,Walk and Text,50,50,38.03105,1.314715,18.01979,0.4258959,72.03831
Egress,Walk and Text,50,50,35.33076,1.415197,18.461,0.437926,73.83421
Egress,Walk and Text,50,50,33.42628,1.495829,17.66119,0.426295,71.1785
Egress,Walk and Text,50,50,33.12539,1.509416,17.37611,0.4387672,68.64217
Egress,Walk and Text,50,50,34.00246,1.470482,17.12366,0.4357263,67.99424
Egress,Walk and Text,50,50,33.22159,1.505045,17.53668,0.433984,70.30299
Egress,Walk and Text,50,50,34.44711,1.4515,17.58709,0.4285735,70.41894
Egress,Walk and Text,50,50,33.83015,1.477971,17.93562,0.4202551,72.61587
Egress,Walk and Text,50,50,33.40128,1.496949,18.1698,0.4480298,71.49889
Egress,Walk and Text,50,50,35.67953,1.401364,17.56884,0.4188069,72.08777
Egress,Walk and Text,50,50,33.13962,1.508768,17.68683,0.4476118,69.18082
Egress,Walk and Text,50,50,37.84531,1.321168,18.13839,0.4087668,75.27225
Egress,Walk and Text,50,50,35.31046,1.416011,18.08643,0.4260836,72.57177
Egress,Walk and Text,50,50,34.67624,1.44191,17.93079,0.4316484,72.19168
Egress,Walk and Text,50,50,37.61426,1.329283,17.77651,0.4078319,74.22166
Egress,Walk and Text,50,50,34.47333,1.450397,18.30421,0.4337797,73.11538
Egress,Walk and Text,50,50,37.01556,1.350783,17.27652,0.3971757,72.83818
Egress,Walk and Text,50,50,35.98651,1.38941,17.60803,0.4303533,71.30601
Egress,Walk and Text,50,50,35.79736,1.396751,17.47314,0.4006886,72.47831
Egress,Walk and Text,50,50,34.43573,1.45198,18.32088,0.436842,72.69823
Egress,Walk and Talk,50,1,38.18607,1.309378,17.88703,0.5341009,71.74654
Egress,Walk and Talk,50,1,35.49258,1.408745,17.2359,0.4705232,72.90463
Egress,Walk and Talk,50,1,34.04799,1.468516,17.88312,0.5245956,72.22089
Egress,Walk and Talk,50,1,30.66335,1.630611,17.43517,0.5543131,68.40437
Egress,Walk and Talk,50,1,33.02231,1.514128,17.44797,0.5098574,70.71313
Egress,Walk and Talk,50,1,39.47878,1.266503,17.86865,0.4407099,80.41588
Egress,Walk and Talk,50,1,30.07845,1.66232,17.27557,0.5481055,68.12447
Egress,Walk and Talk,50,1,34.27467,1.458803,17.69382,0.5276358,71.15987
Egress,Walk and Talk,50,1,37.46527,1.334569,17.85444,0.4956685,76.72965
Egress,Walk and Talk,50,1,33.97635,1.471612,18.17954,0.5326862,73.16888
Egress,Walk and Talk,50,1,36.90506,1.354828,17.38825,0.5196476,73.40052
Egress,Walk and Talk,50,1,35.87332,1.393793,17.80091,0.5120147,74.45582
Egress,Walk and Talk,50,1,38.63965,1.294008,17.16986,0.4826006,73.75272
Egress,Walk and Talk,50,1,33.79086,1.47969,17.84633,0.5051033,73.68313
Egress,Walk and Talk,50,1,35.27881,1.417281,17.31536,0.4848141,72.69016
Egress,Walk and Talk,50,1,37.54443,1.331755,17.7761,0.5074692,75.18087
Egress,Walk and Talk,50,1,33.90985,1.474498,17.50704,0.486371,73.42171
Egress,Walk and Talk,50,1,36.185,1.381788,18.44824,0.4643732,78.9456
Egress,Walk and Talk,50,1,34.91113,1.432208,17.12156,0.494816,71.31161
Egress,Walk and Talk,50,1,38.15076,1.31059,17.69259,0.4652708,77.18902
Egress,Walk and Talk,50,2,37.30227,1.340401,17.79122,0.5015152,72.10421
Egress,Walk and Talk,50,2,34.24393,1.460113,17.08862,0.4647901,73.73758
Egress,Walk and Talk,50,2,37.80298,1.322647,17.45336,0.4464134,77.10027
Egress,Walk and Talk,50,2,34.30502,1.457513,17.961,0.4847512,76.2139
Egress,Walk and Talk,50,2,34.10519,1.466052,18.07098,0.5197013,73.35976
Egress,Walk and Talk,50,2,33.89357,1.475206,17.56201,0.4754156,74.81228
Egress,Walk and Talk,50,2,35.27164,1.41757,17.54607,0.4989329,73.35268
Egress,Walk and Talk,50,2,34.1077,1.465945,18.21912,0.5273807,73.4119
Egress,Walk and Talk,50,2,34.22302,1.461005,18.13872,0.507263,74.1874
Egress,Walk and Talk,50,2,35.32803,1.415307,17.48409,0.4923883,74.2139
Egress,Walk and Talk,50,2,34.43585,1.451975,18.10765,0.5148186,74.17769
Egress,Walk and Talk,50,2,33.19412,1.506291,17.57183,0.4947616,72.77099
Egress,Walk and Talk,50,2,35.05399,1.426371,17.12125,0.469829,72.8463
Egress,Walk and Talk,50,2,37.05197,1.349456,17.99682,0.5067078,77.03152
Egress,Walk and Talk,50,2,32.38544,1.543904,17.33494,0.5186481,70.18265
Egress,Walk and Talk,50,2,32.10327,1.557474,16.92487,0.5059965,69.58546
Egress,Walk and Talk,50,2,37.09167,1.348011,18.21172,0.5285784,75.27865
Egress,Walk and Talk,50,2,35.16901,1.421706,17.31832,0.4898106,73.63435
Egress,Walk and Talk,50,2,35.63354,1.403172,17.60847,0.5134134,72.67974
Egress,Walk and Talk,50,2,34.53827,1.44767,17.43309,0.4838351,73.80663
Egress,Walk and Talk,50,5,39.28123,1.272872,18.32744,0.4898493,75.19754
Egress,Walk and Talk,50,5,35.58231,1.405192,17.95988,0.5113454,73.06402
Egress,Walk and Talk,50,5,35.69373,1.400806,17.49714,0.4730727,74.52805
Egress,Walk and Talk,50,5,41.56585,1.202911,16.57046,0.4386005,73.62106
Egress,Walk and Talk,50,5,32.99339,1.515455,17.56423,0.4999577,71.80862
Egress,Walk and Talk,50,5,38.31982,1.304808,17.85502,0.4948432,74.58025
Egress,Walk and Talk,50,5,34.44714,1.451499,18.04686,0.5229671,73.23948
Egress,Walk and Talk,50,5,40.21863,1.243205,18.14264,0.4682148,79.97755
Egress,Walk and Talk,50,5,36.3717,1.374695,17.55308,0.5075281,74.2124
Egress,Walk and Talk,50,5,33.04358,1.513153,17.50168,0.5099841,71.1798
Egress,Walk and Talk,50,5,34.82355,1.43581,17.50528,0.4967939,72.41779
Egress,Walk and Talk,50,5,33.24054,1.504187,17.87691,0.5232359,71.23888
Egress,Walk and Talk,50,5,38.19629,1.309028,17.79537,0.4504528,78.10247
Egress,Walk and Talk,50,5,33.60471,1.487887,17.57556,0.5122932,71.57014
Egress,Walk and Talk,50,5,36.08298,1.385695,17.46449,0.4823479,73.58633
Egress,Walk and Talk,50,5,35.18628,1.421008,17.27786,0.4896039,71.76736
Egress,Walk and Talk,50,5,33.84363,1.477383,17.56291,0.4715837,74.5989
Egress,Walk and Talk,50,5,32.64728,1.531521,17.54915,0.5069575,70.25451
Egress,Walk and Talk,50,5,36.18402,1.381825,18.17363,0.504806,73.82075
Egress,Walk and Talk,50,5,36.38794,1.374082,17.48835,0.4803987,73.94302
Egress,Walk and Talk,50,10,35.3229,1.415512,17.37206,0.5002356,67.93885
Egress,Walk and Talk,50,10,36.17843,1.382039,17.07355,0.4494416,72.16921
Egress,Walk and Talk,50,10,39.46659,1.266894,17.58645,0.4782847,73.53979
Egress,Walk and Talk,50,10,39.56326,1.263799,17.44992,0.5004249,72.4241
Egress,Walk and Talk,50,10,36.97206,1.352373,17.46321,0.4607498,73.35268
Egress,Walk and Talk,50,10,31.31458,1.596701,18.01668,0.4993795,71.99933
Egress,Walk and Talk,50,10,36.69162,1.362709,18.40631,0.5055636,74.77132
Egress,Walk and Talk,50,10,41.60826,1.201684,17.83492,0.4492012,77.60056
Egress,Walk and Talk,50,10,37.50961,1.332992,17.82297,0.4611488,75.91925
Egress,Walk and Talk,50,10,33.30429,1.501308,17.59328,0.4929965,70.23292
Egress,Walk and Talk,50,10,35.517,1.407777,17.63875,0.4481512,74.57154
Egress,Walk and Talk,50,10,37.17517,1.344984,17.68771,0.4572939,75.01893
Egress,Walk and Talk,50,10,36.20248,1.381121,17.89627,0.4795615,74.18714
Egress,Walk and Talk,50,10,44.12607,1.133117,17.63804,0.4101346,80.46018
Egress,Walk and Talk,50,10,37.41809,1.336252,17.47089,0.4644199,74.61844
Egress,Walk and Talk,50,10,34.4021,1.4534,18.16982,0.4795007,74.97803
Egress,Walk and Talk,50,10,34.8736,1.433749,17.90615,0.4965249,72.74377
Egress,Walk and Talk,50,10,37.5719,1.330782,17.21436,0.4616186,73.01813
Egress,Walk and Talk,50,10,34.35059,1.455579,17.66113,0.4734184,73.45635
Egress,Walk and Talk,50,10,39.0296,1.281079,17.24755,0.4550812,74.87677
Egress,Walk and Talk,50,20,41.24299,1.212327,17.85022,0.4339804,74.17068
Egress,Walk and Talk,50,20,43.44609,1.150851,17.80772,0.4375666,77.9095
Egress,Walk and Talk,50,20,42.42917,1.178435,18.3231,0.4085602,81.3566
Egress,Walk and Talk,50,20,46.02286,1.086417,18.12573,0.393519,81.94333
